FAC_ID,FREQ,CALL,STATE,CITY,PWR_D,PWR_N,PWR_C,MODE,LAT,LON,STATUS,CALL_HIST,County,FIPS
53139,1340,KJOX,WA,KENNEWICK,1000,1000,,,46.2215,-119.1872,LICEN,"KOTY, KTCR",Benton,53005
66327,850,WAXB,CT,RIDGEFIELD,2500,,,,41.2909,-73.4873,LICSL,"WVFR, WREE, WREF",Fairfield,09001
68615,920,WDMC,FL,MELBOURNE,8000,4000,,,28.1211,-80.7192,LICEN,WMEL,Brevard,12009
50406,1230,WSOK,GA,SAVANNAH,1000,1000,,,32.0705,-81.0782,LICEN,,Chatham,13051
55005,1300,WKQK,FL,COCOA BEACH,5000,1000,,,28.3442,-80.7681,LICSL,"WRKT, WXXU, WTIR, WMEL",Brevard,12009
48629,1530,WASC,SC,SPARTANBURG,1000,,250,,34.9496,-81.959,LICEN,,Spartanburg,45083
37125,790,KXXX,KS,COLBY,5000,24,,,39.3931,-101.0021,LICEN,,Thomas,20193
54562,1400,WVGC,GA,ELBERTON,1000,1000,,,34.114,-82.881,LICEN,"WWRK, WSGC, WNGA, WSGC, WMJE, WSGC, WHTD, WGCV, WATG, WVGC, WATG, WVGC",Elbert,13105
35483,1490,KPLT,TX,PARIS,1000,1000,,,33.6354,-95.5541,LICEN,,Lamar,48277
71232,1340,WBRK,MA,PITTSFIELD,1000,1000,,,42.4501,-73.2148,LICEN,,Berkshire,25003
